gene_id,sample4,sample5,sample13,sample14,sample17,sample18
g2932,517.207,409.593,299.193,662.884,1339.648,351.016
g29320,1.568,3.884,0,0,16.03,0
g29321,0,0,0,0,0,0
g29322,18.937,9.294,15.586,16.18,27.262,9.261
g29324,3,1.011,4,5,10.292,1.379
g29325,7,7,10,12,15,9.001
g29326,1.006,0,5,6.002,6.008,4
g29327,3,2,2,5,8,4
g29328,6.783,3,2,3,23,3
g29329,2,2.999,6,4.053,12.974,3
g2933,1738.485,1478.999,1335,2650,5110.064,1309
g29330,2.007,0,6.024,4.099,7,2
g29331,2,0,1,2,9,1
g29332,0,1,2.001,3.039,5.005,0
g29333,2,1,3,3,8,1
g29334,2,3,3,3,4,4
g29335,0,2.015,0,1,8,0
g29336,2,0,2,6.108,4.138,1
g29337,1,2,3,8,10,1
g29338,1,2,0,3,2.173,2
g29339,4,2,2,3,2,1
g2934,2234.355,1620.275,1333.343,2423.312,7365.396,1646.315
g29340,3,1,6,4,6,2
g29341,4,1,0,0,0,0
g29342,1,0,6,3,3,3
g29343,0,0,0,6,3,0
g29344,4,1,0,1,9,1
g29345,4,1,0,0,0,0
g29346,2,1,0,2,2,2
g29347,1,2,0,4,2.001,2
g29348,0,0,0,0,0,0
g29349,1,0,0,4,2.717,0
g2935,140.283,123,109,254.377,550.136,106
g29350,1,3,0,1,6.056,3
g29351,3,0,1,2,3.001,0
g29352,1,0,3,2,1,0
g29353,0,1,0,1,0,2.029
g29354,1.824,3,0,0,0,0
g29355,0,1,0,0,6,1
g29357,0,0,0,1,1.964,1
g29358,0,1,1,0,6,0
g29359,19.107,8.099,13.129,22.841,37.869,17.626
g2936,1713.837,1121.249,1294.844,2207.116,3726.05,878.081
g29360,3.111,3.102,6.006,3.494,10.602,4.546
g29361,5.026,1.006,0,0,0,0
g29362,37.005,18.509,13.818,36.266,52.925,12.862
g29363,0,1.108,1.676,1.251,0,0
g29365,2,1,0,0,2,0
g29366,6,2,3,6.006,13.001,1
g29367,1,2,2,2,6,2
g29368,5,6,7,9,19.001,5
g29369,4,5,3,3,11,4.006
g2937,2384.439,1671.587,1656.691,2538.019,5937.53,1291.477
g29370,0,2,0,4.008,3.427,1.431
g29371,2,2,0,3.001,3.843,0.859
g29372,7,2,1,2,6,1
g29373,5,1,1,0,7,1
g29374,1,1,2,4.412,5.983,3
g29375,1,4,1,2,6,2
g29376,0,0,2,0,8,0
g29377,2,0,0,3.977,6.001,1
g29378,1,0,1,3,16,4
g29379,1.031,1.004,0,1,1,0
g2938,1314,1012.699,891,1445.076,3256.317,851.435
g29380,3,1,1,0,7,4
g29381,4,1,2,3,3,2
g29382,0,1,2,1,3,1.683
g29383,2,0,1.059,2,9.931,1
g29384,0,1.942,1.303,2,3.349,1
g29385,1,1,3,1,5.999,3
g29386,2,1.008,2,2,2,0
g29387,2,1,0,2,4.028,6
g29388,2,1,3,0,4,1
g29389,0,1,3,4,4,1
g2939,864.262,595.358,543.219,1036.924,2002.124,390.907
g29390,6,1,0,0,4,0
g29391,0,0,0,0,0,0
g29392,1654.421,755.48,1910.457,1697.371,6602.856,550.533
g29393,3.339,0,1.273,12.039,13.004,6.938
g29394,75.598,48.423,62.114,70.561,214.684,31.836
g29395,18.513,19.296,2.426,0,21.171,4.488
g29396,0,0,0,0,4.07,0
g29397,7.888,7.971,3.468,7.522,7.061,3
g29398,89.537,113.919,75.487,123.979,313.163,94.593
g29399,12.501,5.954,6.434,11.711,8.191,3.254
g294,1040.261,908.972,1192.469,1824.758,4236.381,920.506
g2940,349.257,505.77,303.505,643.522,1038.404,542.064
g29400,18.107,11.73,14.096,10.094,45.242,10.158
g29401,27.486,24.415,8.396,0,106.684,23.349
g29402,1.166,2.134,2.134,7.387,9.727,1.127
g29403,1.015,0,0,2.031,2.011,0
g29404,14.445,9.852,7.892,7.422,41.052,6.065
g29405,0,1,2.023,2.025,3.052,3.043
g29406,0,1.414,1.318,8.306,5.13,0
g29407,28,11,12,10,16,14
