gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g45287,0,0,0,0,0,0
g45288,0,0,1,3,1,1
g45289,0,0,0,0,0,0
g4529,1437.73,1778.448,1572.53,1171.131,1093.413,1595.974
g45291,4.905,3.05,7.951,2,4.04,7.062
g45292,5.267,4.089,11.157,5.084,9.346,9.818
g45293,34.945,27.558,39.229,28.229,30.374,39.365
g45294,6.267,2.913,0,0,0,0
g45295,18.338,39.464,14.871,10.117,9.254,20.733
g45296,2.514,1.7,0,1.618,2.598,5.78
g45297,0,1.174,2.484,0,1.095,0
g45298,12.803,12.303,8.801,8.848,8.905,16.179
g45299,11,25.46,18.978,10,13,17
g453,10321.135,13018.926,11092.821,8553.314,7733.75,11473.422
g4530,28.923,28,17,18,9,5
g45300,12,11,5.014,5.992,3,14.028
g45301,6.764,8.91,7.657,5.524,5.806,8
g45302,4.147,0,6.856,2.618,3.863,5.093
g45303,5.758,3,11.232,4,7,5
g45304,5.951,2,1,4.128,0,1
g45305,0,1,5,1,0,2.98
g45306,3,0,1,1,2,0
g45307,2,0,1.012,2,0,4
g45308,0,0,0,0,0,0
g45309,1.695,1.316,0,2,1,0
g4531,236,442,318,261.255,224,397
g45310,1,4,1,0,3,0
g45311,0,0,0,0,0,0
g45312,0,0,2,2,0,0
g45313,0,0,0,1,0,2.956
g45314,2,2,4,1,2,2
g45315,1,1,0,0,1,0
g45316,0,3,0,0,0,1
g45317,1,0,1,1,3,1
g45318,3,1.118,0,1,0,2.583
g45319,1,1.013,1,0,0,0
g4532,1542.378,2737.06,2458.655,1454.698,1719.782,2447.905
g45320,3,0,2.876,1,0,2
g45321,2,1,0,0,1,1
g45322,0,1,2,0,0,1
g45323,1.589,2,0,0,1,0
g45324,0,0,1,8,1,1
g45325,0,0,22,0,0,0
g45326,1,0,2,1,2,1.019
g45327,2,4,0,0,0,2
g45328,1,0,1,2,1,2
g45329,3,3,2,2,1,2
g4533,18.148,32.365,20.603,7.067,19.04,22.98
g45330,0,1,0,1,2,2
g45331,0,2,2,0,0,1
g45332,0,0,1,0,0,1
g45333,1,1,0,0,1.963,0
g45334,1,1,0,0,0,1
g45335,0,0,0,0,2,0
g45336,1,1,3,1,1,1
g45337,0,1,0,1,0,0
g45338,1,0,0,0,1,1
g45339,1,1,0,0,1.562,0
g4534,88.022,69,64,35,51.282,67
g45340,0,0,5.209,1,0,1
g45341,2,0,3,0,0,0
g45342,1,1,0,1,2,1
g45343,0,1,0,3,0,0
g45344,1,0,0,1,0,0
g45345,2.027,0,3,1,0,0
g45346,0,0,0,0,1,0
g45347,2,0,1.291,0,1,0
g45348,1,1,1,0,0,0
g45349,1,3,1,0,2,0
g4535,818.922,932,900.98,641,594,799
g45350,2,0,0,0,1,0
g45351,0,2.404,1,0,1,1.999
g45352,0,0,0,3,4,0
g45353,2,1,0,1,1,0
g45354,1,1.95,1,1,1,0
g45355,0,1,0,0,0,2
g45356,0,1,1,0,1.842,0
g45357,0,0,0,0,1,4
g45358,2,1,0,1,3,3
g45359,0,0,0,0,0,0
g4536,746.391,1121.325,1291.833,903.121,943.489,1279.079
g45360,1,0,0,0,1,0
g45361,0,2,1,1,1,0
g45362,4,3,0,1,0,3
g45363,0,0,3,2,2,1
g45364,1,1,2,1,1,3
g45365,3,1,2,0,1,0
g45366,0,0,2,1,0,2
g45367,0,0,0,0,2,0
g45368,0,0,0,0,0,1
g45369,3,0,0,0,1,0
g4537,526.837,686.472,483.188,406.985,339,466.965
g45370,0,2,1,0,0,0
g45371,0,0,0,0,0,1
g45372,0,2.934,1,2,0,0
g45373,0,1,2,0,1,2
g45374,0,0,0,1,1,2
g45375,0,0,0,0,1,0
g45376,1,0,2,0,0,0
g45377,2,1,0,0,2,0
g45378,1,1,2,1,0,2.984
g45379,0,0,0,0,0,1
g4538,274.565,226.562,282.329,176.517,200.17,233.302
g45380,0,0,2,0,1,1
g45381,1,1,2,0,0,1
g45382,0,0,3,0,0,0
g45383,0,1.001,0,1,1,2
g45384,0,1,1,0,0,2
g45385,2,0,1,0,0,2
g45386,0,0,0,3,0,1
g45387,1,0,0,1,1,0
g45388,1,0,0,0,0,0
g45389,2,0,0,0,2,2
g4539,275.529,449.159,271.719,298.332,174.686,317.308
g45390,0,0,0,4,1,0
g45391,0,2,2,1,0,0
g45392,1,0,1,0,0,0
g45393,0,0,1,3,0,2
g45394,0,0,0,0,1,1
g45395,0,2,3,0,0,1
g45396,0,0,1,0,2,1
g45397,0,2,0,1,0,0
g45398,0,0,0,0,1,2
g45399,0,0,0,1,0,0
g454,742.225,1208.202,849.79,684.543,633.096,1047.893
g4540,37,40,33.272,26,19,27
g45400,1.056,2,1,0,1,0
g45401,0,0,0,3,0,1
g45402,2,0,0,1,0,3
g45403,0,1,0,0,1,0
g45404,0,2,1,0,0,0
g45405,3,1,0,0,0,0
g45406,0,2,1,1,0,0
g45407,1,1,0,0,0,0
g45408,0,0,0,0,0,0
g45409,0,0,2,1,0,0
g4541,2269.059,2528.368,2357.092,1560.576,1549.828,2037.947
g45410,0,0,0,9,0,0
