plant,ant,trial,season,date,time,min1,min2,min3,min4,min5,activity.avg,temp.c,dom.no,dom.size.mm,gh.length.mm,gh.mass.g,gh.species,gh.age,herbivory
187,Allomerus,1,Winter,19-01-13,9:40:00,1,0,0,1,1,0.6,24.5,43,,8.4,0.006814,Orphulella fluvialis,juvenile,
209,Allomerus,1,Winter,19-01-12,16:20:00,1,1,1,0,0,0.6,25.5,5,,9.3,0.008285,Orphulella sp. ,juvenile,
28,Allomerus,1,Winter,19-01-12,16:40:00,0,0,0,0,2,0.4,25.5,53,,12.8,0.017803,Orphulella concinnula,adult,
207,Allomerus,1,Winter,19-01-12,11:00:00,0,0,0,1,1,0.4,,5,,8.2,0.004469,Orphulella fluvialis,juvenile,
70,Allomerus,3,Summer,19-07-02,10:23:00,1,0,1,0,0,0.4,27.4,17,11.3,10.2,0.013099,Orphulella punctata,,211.25
213,Allomerus,3,Summer,19-06-30,9:07:00,1,1,0,0,0,0.4,25.2,3,8.7,13,0.021526,Orphulella punctata,,0
195,Allomerus,1,Winter,19-01-12,9:20:00,0,0,0,0,1,0.2,24,25,,10.1,0.008162,Orphulella fluvialis,juvenile,
199,Allomerus,1,Winter,19-01-12,9:50:00,0,0,0,1,0,0.2,24,15,,8.8,0.007701,Orphulella fluvialis,juvenile,
48,Allomerus,3,Summer,19-07-03,8:31:00,1,0,0,0,0,0.2,25.5,13,23.3,18.4,0.044771,Orphulella punctata,,63.5
205,Allomerus,3,Summer,19-06-29,7:54:00,0,0,0,0,1,0.2,24.2,15,16.9,12.8,0.015169,Orphulella punctata,,
16,Allomerus,1,Winter,19-01-13,16:30:00,0,0,0,0,0,0,,24,,11.7,0.016348,Orphulella punctata,juvenile,
59,Allomerus,1,Winter,19-01-13,8:30:00,0,0,0,0,0,0,24,8,,10.4,0.009535,Orphulella fluvialis,juvenile,
88,Allomerus,1,Winter,19-01-13,10:40:00,0,0,0,0,0,0,25.5,18,,7.2,0.005305,Orphulella fluvialis,juvenile,
103,Allomerus,1,Winter,19-01-09,14:30:00,0,0,0,0,0,0,25,7,,10.6,0.010329,Orphulella fluvialis,juvenile,
213,Allomerus,1,Winter,19-01-14,10:40:00,0,0,0,0,0,0,25,6,,6.8,0.003499,Orphulella fluvialis,juvenile,
199,Allomerus,2,Winter,19-01-15,10:00:00,0,0,0,0,0,0,29.5,15,,11.7,,Orphulella fluvialis,juvenile,
28,Allomerus,3,Summer,19-07-03,9:47:00,0,0,0,0,0,0,26,30,15.3,13.1,0.021774,Orphulella concinnula,,135.5
81,Allomerus,3,Summer,19-07-01,15:33:00,0,0,0,0,0,0,27.9,47,22.2,7.8,0.003866,,,215
145,Allomerus,3,Summer,19-06-30,10:09:00,0,0,0,0,0,0,26.4,5,17.8,10.8,0.01357,Orphulella punctata,,
188,Allomerus,3,Summer,19-07-02,8:57:00,0,0,0,0,0,0,26,25,11.7,12.5,0.021145,Orphulella concinnula,,0
204,Allomerus,3,Summer,19-06-28,14:25:00,0,0,0,0,0,0,26.7,5,10.8,9,0.007271,,,
209,Allomerus,3,Summer,19-07-03,9:05:00,0,0,0,0,0,0,24.9,3,12.2,,,,,96.5
