"","sample4","sample5","sample6","sample7","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g6498",45.0150023329274,80.5205178137401,42.8248621663368,83.0110318255298,55.8652862888569,114.292289270532,48.9021110519782,113.690602392677,56.8076807595999,90.75622772432,44.6169454354351,89.7531341684288
"g13941",0.937812548602654,77.9643108990182,3.13352649997587,13.1070050250837,11.4269903772662,2671.02564340679,0.998002266366903,419.880065654772,8.06736294810886,136.832466415129,15.8318193480576,207.429465633702
"g1818",454.839086072287,628.82690102159,342.598897330695,583.698623783726,436.764965531063,518.026090330076,417.164947341365,742.864731543058,421.855854161526,698.124828648616,374.206639135908,622.288396901106
"g4484",695.856911063169,1195.02673263249,651.77351199498,1029.33679463657,740.215043327353,872.035323979712,639.719452741185,1197.62714111377,748.920193682772,1115.60347618049,836.207912838317,1046.12264158535
"g9011",314.167203781889,113.751207705125,415.714515663465,211.45968107135,206.955492388265,100.933450264886,349.300793228416,152.448762299271,336.476262960707,129.851218128643,479.272349354836,160.558384456856
"g9305",713.67534948662,12890.9514709426,59.5370034995415,3764.33184320403,295.832084211447,2895.15727561264,59.8801359820142,12265.6656717736,1147.58237936849,12989.3105618361,69.084302609706,6535.02542450793
"g14156",60.0200031105699,232.614829239694,26.1127208331322,167.769664321071,50.7866238989608,85.3481380916314,66.8661518465825,335.904052523818,100.842036851361,388.15740472863,46.056201739804,290.20180047792
"g10119",9.37812548602654,327.194485084404,7.31156183327702,153.788858960982,45.7079615090647,178.117853408622,2.99400679910071,365.61864178554,55.1269801454105,349.062414324308,20.1495882611643,282.223744107393
"g8960",192.251572463544,815.430005796289,94.005794999276,434.278766497772,214.573485973109,235.263998043888,95.8082175712227,684.727491683167,184.54092743799,699.521078305913,73.4020715228126,365.993335997926
"g4234",137.85844464459,235.171036154416,109.673427499155,204.469278391305,144.741878112038,322.838609303127,141.7163218241,355.283132477115,114.287641764876,354.647412953497,76.2805841315504,191.473352892648
"g35662",211.007823435597,168.709656371646,287.239929164454,126.701048575809,238.697132325116,137.299178669146,239.520543928057,149.864884972165,292.105766746108,141.02121538702,261.944647395135,190.476095846332
"g68084",55.3309403675566,7.66862074416573,191.145116498528,2.62140100501673,88.8765918231814,8.9058926704311,35.9280815892085,7.75163198131887,4.3698215968923,2.79249931459446,89.2338908708703,5.98354227789526
"g3884",37.5125019441062,49.8460348370772,25.0682119998069,82.1372314905243,40.6292991191686,82.3795072014877,21.9560498600719,176.995596906781,34.6224326523005,114.492471898373,31.6636386961153,90.7503912147447
"g7404",47.8284399787354,182.768794402617,35.5133003330598,77.7682298154964,68.5619422635971,80.8951917564158,36.9260838555754,136.945498336633,43.698215968923,132.643717443237,48.9347143485418,122.662616696853
