"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"g3892",5365.5127503482,-1.35405503401049,0.189860454050336,-7.13184344145466,9.90334836278709e-13,4.90215743957961e-10,TRUE
"g3958",73.4492882566247,-3.48544231827304,0.489816354938273,-7.11581449482689,1.11253848991094e-12,5.35409148269638e-10,TRUE
"g4981",325.183158683346,-2.61493762660661,0.368821927208877,-7.08997332776712,1.34137850385824e-12,6.28091421063352e-10,TRUE
"g9792",1892.80680245642,-3.56698394881836,0.503686529770828,-7.08175370590376,1.42341478517252e-12,6.48964767187208e-10,TRUE
"g3740",569.303835507107,-1.04395511714276,0.148433227327047,-7.03316323401491,2.01902922857011e-12,8.96914907307109e-10,TRUE
"g5675",748.913383956656,-0.677062505875063,0.0971540967866771,-6.96895476638211,3.19304334726378e-12,1.38298689978363e-09,TRUE
"g5301",69.5279426764676,-2.95444327226067,0.425357486471577,-6.94578881582254,3.76351413352469e-12,1.5903142039833e-09,TRUE
"g1423",4784.78023713109,0.800651284017577,0.115408334846683,6.93755165154426,3.9895348111641e-12,1.64568310960519e-09,TRUE
"g5480",253.983981879542,-3.39621552292907,0.489788834315043,-6.9340403149014,4.0898801652376e-12,1.64784125262189e-09,TRUE
"g869",1065.27046651952,-1.48468982376458,0.214937277147909,-6.90754923234137,4.93097857876697e-12,1.94157281538949e-09,TRUE
"g5108",2477.24372723875,-2.01824969765335,0.293431014981758,-6.87810624851235,6.06534282292046e-12,2.33515698682438e-09,TRUE
"g6897",79231.6135165416,1.06230290684506,0.159290854860179,6.66895100649386,2.57638234907706e-11,9.57312108272067e-09,TRUE
"g2759",505.542228636775,-1.13264841875133,0.169868924067905,-6.66777884752217,2.59703717684197e-11,9.57312108272067e-09,TRUE
"g26067",75.3215694213904,-3.75319492968163,0.563719902176654,-6.65790743805508,2.77753597565542e-11,1.00251689121313e-08,TRUE
"g15701",57.3612299973282,-1.62106800428688,0.2436967114111,-6.65198965919669,2.89157023544311e-11,1.02237661896024e-08,TRUE
"g7529",220.481437165488,-5.79446968881222,0.876835146775312,-6.60839122396293,3.88518848182264e-11,1.34621780895155e-08,TRUE
"g8125",170.848432411268,-1.26154222955439,0.192459864684467,-6.55483277836992,5.57042620176282e-11,1.89230654795178e-08,TRUE
"g9996",119.148624865223,-3.96214576066574,0.60673905400354,-6.53023030991941,6.56686329673873e-11,2.14662087954714e-08,TRUE
"g6169",289.535959391229,-0.784657066280044,0.120263207959344,-6.52449805384621,6.82296361487286e-11,2.18903415977171e-08,TRUE
"g1172",136.527854155569,-2.89538879213102,0.445239134096969,-6.50299708717975,7.87353211282042e-11,2.48016261553843e-08,TRUE
"g13743",3479.31566689805,-5.76540569101166,0.889595907214731,-6.48092650185721,9.11610744124514e-11,2.82029573963522e-08,TRUE
"g7216",20138.1998311838,-3.88012945313116,0.59925429247819,-6.47492976159596,9.48560555662023e-11,2.88312484681483e-08,TRUE
"g32",4389.02750405298,-0.79209399361466,0.12369178574354,-6.40377199547406,1.51584433594504e-10,4.52793157245651e-08,TRUE
"g8422",440.17813503983,-4.58872734913589,0.719617512054919,-6.37661990191492,1.81039025161683e-10,5.31610357784095e-08,TRUE
"g13531",800.336242059916,-3.08290551328276,0.48379547949108,-6.37233220228879,1.86175067174017e-10,5.37580506464975e-08,TRUE
"g10913",356.53692053963,-4.33812956655843,0.684449462534317,-6.33812984598688,2.3257079461338e-10,6.53751369392468e-08,TRUE
"g643",4114.95271360427,-0.606092282629692,0.0956401531071104,-6.33721572936954,2.3395431401058e-10,6.53751369392468e-08,TRUE
"g4815",1206.09043309076,-0.765539977839819,0.121236773428812,-6.31442058534601,2.71175529120768e-10,7.45732705082111e-08,TRUE
"g25125",86.8618240946472,-2.44850788042888,0.388976993418438,-6.29473702007595,3.07921442282788e-10,8.33552966804579e-08,TRUE
"g868",5550.95631350139,-1.20910133198152,0.193173354514036,-6.25915170869837,3.87077182969307e-10,1.03170956845281e-07,TRUE
"g329",422.472645988994,-1.04408667187031,0.167208851262067,-6.24420695429523,4.25955706083927e-10,1.11586846621086e-07,TRUE
"g11760",575.624731884434,-4.36439415920693,0.69917867214119,-6.2421728995841,4.31533548260475e-10,1.11586846621086e-07,TRUE
"g6663",557.229925041815,-3.4444455104007,0.553300291825304,-6.22527325810308,4.80717414869758e-10,1.22476900185567e-07,TRUE
