"","log2FC","qvalue"
"NODE_2857_length_6871_cov_1104.753435_g1091_i1",-0.788977274594233,0.0270175438596491
"NODE_2898_length_6842_cov_159.260238_g637_i3",0.564538270593248,0.028412017167382
"NODE_3015_length_6732_cov_64.422348_g1253_i0",2.24593857559859,8.26446280991736e-05
"NODE_3078_length_6686_cov_103.704972_g869_i1",1.01468187490358,8.26446280991736e-05
"NODE_3099_length_6671_cov_58.723577_g752_i2",0.671474609389346,0.0407225433526012
"NODE_3115_length_6662_cov_1120.445047_g1154_i2",-0.507455593982723,8.26446280991736e-05
"NODE_3289_length_6537_cov_111.487861_g1153_i1",0.662798431800879,0.0238888888888889
"NODE_3321_length_6515_cov_278.361394_g1371_i0",0.223511595765578,0.0391394658753709
"NODE_3340_length_6507_cov_24.387620_g1379_i0",0.744406661674343,0.0238888888888889
"NODE_3348_length_6503_cov_8.077078_g1382_i0",0.929743152620407,0.0238888888888889
"NODE_3434_length_6442_cov_189.106502_g37_i8",1.90603773786031,0.0175757575757576
"NODE_3593_length_6364_cov_107.899763_g1212_i1",0.283101495698386,0.0463707571801567
"NODE_3696_length_6312_cov_245.431323_g1494_i0",-0.753764133239515,0.0175757575757576
"NODE_3844_length_6220_cov_230.724762_g1541_i0",-0.299988597947336,0.0463707571801567
"NODE_3846_length_6219_cov_168.340226_g479_i1",-0.431093911737054,0.0238888888888889
"NODE_3988_length_6144_cov_741.272608_g1455_i2",-0.529456634071095,8.26446280991736e-05
"NODE_4062_length_6098_cov_34189.172351_g906_i3",-0.991167328547744,0.0325
"NODE_4067_length_6097_cov_724.221819_g366_i4",-0.266402206724914,0.0463707571801567
"NODE_4121_length_6069_cov_2765.900331_g1047_i3",-0.598056831582772,0.0445403899721449
"NODE_4277_length_5983_cov_5131.661404_g595_i6",-0.281916605145243,0.0165562913907285
"NODE_4327_length_5950_cov_13.637899_g1707_i0",2.7753236065174,8.26446280991736e-05
"NODE_4449_length_5877_cov_605.002394_g1754_i0",0.318887898981396,0.0264220183486239
"NODE_4612_length_5801_cov_258.702356_g1807_i0",-0.312120689483388,0.0238888888888889
"NODE_4652_length_5781_cov_45.198713_g1818_i0",1.03481902713035,8.26446280991736e-05
"NODE_4784_length_5715_cov_84.554520_g1871_i0",-0.657927483164614,8.26446280991736e-05
"NODE_4815_length_5694_cov_433.932745_g1881_i0",0.355628187793437,0.0248803827751196
"NODE_4816_length_5693_cov_1197.272952_g1882_i0",0.55775258581627,0.0463707571801567
"NODE_4965_length_5624_cov_672.475246_g1868_i1",1.75391937064695,0.0407225433526012
"NODE_5133_length_5551_cov_10.646867_g179_i4",2.91105928582455,8.26446280991736e-05
"NODE_5230_length_5510_cov_191.509031_g2034_i0",-0.404236610167883,0.0358860759493671
"NODE_5265_length_5494_cov_14709.130650_g164_i5",-0.788100820414363,0.0165562913907285
"NODE_5285_length_5482_cov_2340.189254_g2051_i0",0.456074763175288,0.0290983606557377
"NODE_5396_length_5436_cov_1679.149806_g1337_i2",0.281332814374075,0.0351986754966887
"NODE_5480_length_5405_cov_2086.777902_g415_i2",-0.835989769679458,0.0455163043478261
"NODE_5506_length_5394_cov_252.813793_g170_i26",1.67240351158247,0.049375
"NODE_5673_length_5328_cov_99.610681_g2176_i0",2.74359526413033,0.0223699421965318
"NODE_5675_length_5327_cov_977.716497_g1423_i1",-0.85515461988542,8.26446280991736e-05
"NODE_5799_length_5282_cov_127.535313_g2226_i0",4.98035468661775,0.0175757575757576
"NODE_5926_length_5235_cov_149.329620_g1630_i1",-0.399334917347463,0.0482820512820513
"NODE_6096_length_5160_cov_19402.940752_g1076_i3",-0.535517142610386,0.049375
"NODE_6790_length_4921_cov_418.747343_g2551_i0",0.443979016546496,8.26446280991736e-05
"NODE_6972_length_4868_cov_72.943170_g1533_i3",1.87598092014666,8.26446280991736e-05
"NODE_7022_length_4850_cov_15.519809_g2622_i0",1.56326612155761,8.26446280991736e-05
"NODE_7399_length_4721_cov_11.881287_g2748_i0",1.24300015755871,0.0325
"NODE_7425_length_4712_cov_77.653854_g2759_i0",1.12789294352165,8.26446280991736e-05
"NODE_7495_length_4690_cov_3122.461918_g170_i52",-1.09453139084618,0.0341496598639456
"NODE_7614_length_4646_cov_1105.513320_g1672_i3",0.795525970863783,0.0165562913907285
"NODE_7726_length_4613_cov_45.081152_g2861_i0",0.982313575269472,0.0365256797583082
"NODE_7765_length_4598_cov_207.726636_g1313_i2",0.893105046408555,0.0407225433526012
"NODE_7780_length_4594_cov_438.449069_g2694_i1",-0.435448495443004,0.0445403899721449
"NODE_7787_length_4592_cov_7.662941_g2873_i0",1.25729406566094,0.028412017167382
"NODE_7821_length_4583_cov_182.882521_g1435_i2",1.46518496801522,8.26446280991736e-05
"NODE_7905_length_4556_cov_35.977689_g2764_i1",0.749178313322803,0.0341496598639456
"NODE_7906_length_4556_cov_14.532140_g2926_i0",2.2259209447732,8.26446280991736e-05
"NODE_7961_length_4538_cov_587.305389_g643_i4",0.490774731479028,0.0200584795321637
"NODE_8002_length_4529_cov_58.470000_g2023_i1",2.94619457504435,8.26446280991736e-05
"NODE_8004_length_4526_cov_32.563487_g2968_i0",0.500513583474371,0.0270175438596491
"NODE_8221_length_4463_cov_101.442941_g3043_i0",1.01516133165242,0.0138235294117647
"NODE_8239_length_4458_cov_37.291488_g3050_i0",0.538306819110844,0.0358860759493671
"NODE_8680_length_4339_cov_103.302552_g3208_i0",0.621577756348184,0.0341496598639456
"NODE_8725_length_4327_cov_99.728711_g3224_i0",2.4469053082456,8.26446280991736e-05
"NODE_8791_length_4311_cov_33.675152_g3245_i0",0.993725757279653,0.0238888888888889
"NODE_8838_length_4298_cov_78.353713_g2745_i1",1.23385106261071,0.0455163043478261
"NODE_9357_length_4164_cov_3.774123_g3428_i0",1.92769818985839,0.0463707571801567
"NODE_9409_length_4150_cov_215.942004_g523_i5",-1.37977230356935,0.0365256797583082
"NODE_9551_length_4117_cov_407.663405_g2757_i1",-0.285305813739871,8.26446280991736e-05
"NODE_9857_length_4049_cov_387.340050_g2369_i2",0.362675990788233,0.0301176470588235
"NODE_10058_length_4000_cov_319.894485_g2416_i1",-0.453368715411497,0.0290983606557377
"NODE_10097_length_3987_cov_1037.629106_g1523_i1",0.502646198075412,0.0175757575757576
"NODE_10285_length_3942_cov_110.476616_g3740_i0",1.0201178792655,8.26446280991736e-05
"NODE_10365_length_3925_cov_4317.754620_g2617_i1",0.43656530685391,0.0482820512820513
"NODE_10960_length_3797_cov_8.305732_g3958_i0",2.75893688203553,8.26446280991736e-05
"NODE_10989_length_3792_cov_3974.340154_g2742_i2",0.319115861623479,0.0238888888888889
"NODE_11009_length_3790_cov_106.228131_g3978_i0",0.921267021398981,0.0175757575757576
"NODE_11011_length_3789_cov_111.948138_g3980_i0",1.69244640365862,0.0445403899721449
"NODE_11030_length_3784_cov_214.096671_g2658_i1",1.39030331242504,0.0325
"NODE_11052_length_3778_cov_12.024006_g3989_i0",3.14570421419155,8.26446280991736e-05
"NODE_11298_length_3724_cov_101.735859_g4073_i0",-0.284562730703555,0.049375
"NODE_11337_length_3716_cov_454.123678_g718_i5",0.385876633586678,0.0455163043478261
"NODE_11376_length_3709_cov_591.297826_g1941_i1",-0.232202660634813,0.0340287769784173
"NODE_11411_length_3702_cov_432.886741_g4108_i0",0.528991023824547,8.26446280991736e-05
"NODE_11473_length_3691_cov_223.922993_g845_i5",-0.514082053484238,0.0138235294117647
"NODE_11487_length_3686_cov_1972.748701_g4134_i0",-0.429239214394573,0.0341496598639456
"NODE_11525_length_3676_cov_78.729092_g0_i724",1.04047744153358,0.0391394658753709
"NODE_11562_length_3667_cov_755.141561_g3281_i2",-0.279170224192706,0.0270175438596491
"NODE_11650_length_3650_cov_235.219553_g1388_i2",0.597412681664464,0.0264220183486239
"NODE_11753_length_3630_cov_12.188836_g4222_i0",0.817290463879174,0.049375
"NODE_11828_length_3617_cov_10.813545_g3884_i1",2.41819895162465,0.0301176470588235
"NODE_11966_length_3592_cov_4649.101319_g4107_i1",-0.781349077462999,0.0351986754966887
"NODE_12018_length_3585_cov_98.194038_g4305_i0",1.80191311836397,8.26446280991736e-05
"NODE_12337_length_3526_cov_718.513583_g28_i6",-0.344811594734627,0.0463707571801567
"NODE_12450_length_3507_cov_302.465210_g887_i20",-0.464107667126412,0.049375
"NODE_12453_length_3507_cov_41.407131_g4234_i1",1.18086824725256,0.0365256797583082
"NODE_12456_length_3506_cov_298.539833_g1401_i5",-0.648210583775345,0.0445403899721449
"NODE_12491_length_3500_cov_8835.529242_g4459_i0",-0.738741976499323,8.26446280991736e-05
"NODE_12567_length_3485_cov_21.982350_g4480_i0",0.732990381819093,0.023695652173913
"NODE_12576_length_3483_cov_111.241170_g355_i5",-0.867594925774936,0.0290983606557377
"NODE_12651_length_3470_cov_959.222900_g2186_i1",0.337790718848448,0.0165562913907285
