gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g16500,0,0,0,0,0,0,0,0,0,0,0,0
g16501,22.019,10,10.099,20.521,19.013,30.548,15.461,11.062,35.881,19.017,7.114,7
g16502,16.622,6.475,23.002,21.039,13.775,14,14.869,21.035,46.899,12.992,15,14.761
g16503,35,16,0,9,0,0,23,39,0,0,14,23
g16504,8,4,3,3,15,13,10.094,7,44.927,7.001,18,19.121
g16505,7,3.652,5.063,5.04,3.428,10.009,8,7,15.089,4.002,2.066,9.457
g16506,1.008,6,13.009,12.051,3.001,8.007,3,7,8.017,3,5,7
g16507,9,3,8,13,2,4,2,2,18,1,3,2
g16508,5,2,5,2,8,11,10,0,8,7,5,8
g16509,7,3,3,3,1,1,6,3,10,0,5,2.036
g1651,493.32,322.341,404.111,585.912,403.987,582.824,527.771,422.735,1377.709,305.253,260.676,466.868
g16510,0,0,0,0,0,0,3,1,69,4,0,0
g16511,2,0,2,2.007,1,2,2.151,1,8.564,2,2,2
g16512,0,0,1,3,1,5,7,5,7,4.001,2,3
g16514,493.553,136.742,265.339,200.937,397.124,978.347,945.374,481.078,2292.589,251.008,584.838,731.742
g16515,15.255,8.668,16.222,14.771,7.129,7.853,10.299,12.64,25.009,2.482,6.865,2.687
g16516,10,6,6,7.004,1,3.044,4.004,3,16.529,1.004,5.515,5
g16517,0,2,5,6,1,3,4,4,24.566,7,5,3
g16518,6,5,6,3,2,8,4,3,17,1,1,1
g16519,5,7,4,4,3,5,3,0,8,2,3,5
g1652,6066.146,4407.908,5492.416,6753.342,4421.641,7582.544,6055.359,4198.187,15153.897,3892.334,3938.261,5462.415
g16520,6,2,2.008,3.025,1.667,4.991,2,3,11.015,2,0,3
g16521,0,1,8,3,6,2,5,4,11,0,3,4
g16522,2,3,2,5,6,3,1,0,9,2,2,2
g16523,4,5,7,4,3,1,4,5,7,3,1,1
g16524,27.372,11.675,4.767,6.089,6.658,10.325,12.369,7.55,22.109,5.371,1.146,8.725
g16525,33.033,27.554,87.704,52.705,50.456,41.518,28.943,13.438,178.789,35.68,34.67,26.418
g16526,25.83,21.482,9.875,30.679,11.882,26.707,22.567,18.624,85.851,19.384,22.228,20.36
g16527,4.234,4.274,7.956,12.527,4.134,7.621,8.533,6.436,19.014,1.03,5.218,2.101
g16528,3.063,1.334,2.766,0,0,0,1.475,2.753,6.601,1.367,5.907,0
g16529,4,3,0,0,0,0,5,24,1,0,11,12
g1653,1025.418,782.724,764.264,998.894,645.95,1093.831,823.938,604.056,2573.484,526.2,542.841,818.485
g16530,5.183,13.776,2.227,0,8,7.603,5,5.863,0,1,10.566,7.49
g16531,3.008,5.002,8.032,6.128,8.732,10.185,8.042,5.047,17.806,7.006,1,7
g16532,3.043,3.051,5.926,5.685,4.525,8.112,2.275,5.092,15.719,7.277,5,9
g16533,14,8,9.298,11.001,8.053,10.024,6.436,8,23.686,6.924,4,4.194
g16534,4.004,1.995,4.905,6.337,3,5,2.053,2.958,10.024,3.951,4,2
g16535,0,0,0,68,0,0,0,0,0,0,0,0
g16536,16.254,1.966,5.141,8.941,2.164,27.513,2.451,5.916,20.088,5.64,0,5.796
g16537,20.596,7.262,23.44,21.944,24.241,22.869,19.224,15.556,70.51,7.301,23.963,32.498
g16538,83.177,29.096,65.677,42.468,43.291,84.886,87.748,58.077,292.528,42.225,31.724,40.778
g16539,16.11,15.27,28.433,62.433,9.885,7.131,16.014,7.744,58.219,9.19,5.032,30.873
g1654,2017.843,1549.662,1900.891,2034.251,1532.06,2639.146,1987.137,1579.029,5142.837,1480.424,1381.666,1976.091
g16540,82,79,57,97,45,90,103,30,208,42,63,113
g16541,8.038,3.006,8.09,8.001,4.002,8.041,7.045,3.001,19.045,8.047,15.135,4.021
g16542,0,0,0,0,0,0,0,0,0,0,0,0
g16543,7,10,0,0,0,0,7,19,0,0,4,14
g16544,0,0,0,0,0,0,0,0,0,0,1,0
g16545,4.001,4,7,4,5,8.997,0,2,7,1,8,7
g16546,4,5,3,4,3,0,3,5,5,4,4,4
g16547,3.004,3,1.01,3,4,4,3,0,11,3,2,2
g16548,2,2,4,3,3,8.938,3,1,9,2.001,0,1
g16549,2,1,8,3,1,4,3,5,10,1.185,4,2.35
g1655,181.064,152.001,188.056,234,163,253.244,159.307,180.094,610.654,122.186,109.667,159.209
g16550,0,0,28.678,17.001,0,0,0,0,0,0,0,0
g16551,2,1,3,5,1,7,2,0,5,0,0,2
g16552,1,3,2,2,2,2,2,3,9,3,1,1
g16553,0,2,1,4,1,3,3,2,3,0,0,2
g16554,53.724,26.131,20.161,33.567,22.337,19.796,22.011,17.88,96.644,28.261,21.702,28.135
g16555,354.728,285.354,369.853,356.843,209.21,446.007,403.671,289.687,769.64,226.182,237.704,443.907
g16556,8.754,5.082,17.991,11.441,3.377,8.415,8.041,4.334,34.291,7.149,3.443,12.735
g16557,34.038,28.346,36.637,47.686,36.051,68.346,64.685,33.059,85.335,19.746,19.135,44.12
g16558,19.136,4,10,27.72,14.539,22.987,17.999,11.999,44.647,5,12.359,13
g16559,4,4,5.472,4.122,2,3,2.276,7.308,13.819,4.017,4,6.721
g1656,905.211,603.089,694.01,961.298,650.083,1122.202,783.63,621.841,2625.06,580.727,584.358,837.994
g16560,2.025,0,0,5.052,5.176,5.001,3.001,5.006,6.089,3.005,6.004,1
g16561,4,2,7,8,5,5,2,7,9.036,6,0,1
g16562,10,7,0,1,0,0,6,15,0,0,5,4
g16563,4,2,2.139,7,4,6,7,1.22,3,1,1,0
g16564,0,0,0,0,0,0,0,0,0,0,70,1
g16565,5.35,4,3,2.579,6,3,0,2.042,5.363,1,0,2
g16566,2,2,3,8,2,3,2,3,7,1,4,5
g16567,15,9.003,9.004,27.995,14.964,36.427,10.014,19,44.919,9.001,18.006,18.948
g16568,26,20,0,0,0,0,26,48,0,0,33,33
g16569,8,8,12,9,4,13,7,8,18,2,0,5
g1657,19855.973,17678.832,13797.037,18720.397,15273.185,31526.058,18816.481,13726.068,53506.7,13163.395,13739.693,21459.179
g16570,4,1,11,8,3,7,7,1,20,2,7,6
g16571,14.216,7.016,7.021,5,2,5,8,12,14,1,5,1
g16572,0,0,0,0,15,6,0,0,0,2,1,0
g16573,7,4,3,6,3,3,8,2,19.012,3,2,2
g16574,9,8,0,1,0,0,11,14,0,0,12,7
g16575,2,4,5,6,2,1,6,4,21,3.831,5.009,3
g16576,7,3,1,3,0,1,3,7,8,5,4,2
g16577,0,0,0,0,0,0,0,0,1,0,0,0
g16578,2,3,0,1,0,20,0,0,1,25.992,0,1
g16579,0,2,1,0,1,4,4,2,0,3,1,5
g1658,998,688.786,848.474,1037.497,576.328,748.418,656.707,539.825,1822.82,562.49,376.64,484.796
g16580,0,1,1,3,3,4,5,1,10,3,4,3
g16581,16.624,5.937,14.14,23.11,6.055,13.433,6.115,6.084,25.538,8.208,3.635,5.927
g16582,121.989,66.289,107.013,87.741,86.605,106.529,125.94,70.371,349.088,72.062,52.313,86.781
g16583,45.165,38.994,57.427,65.459,38.78,80.045,50.294,45.977,157.205,38.215,43.141,52.686
g16584,432.948,348.872,446.908,412.505,345.289,590.585,447.792,305.877,973.063,288.963,332.792,446.471
g16585,460.097,296.947,371.654,576.741,362.678,591.46,406.863,355.607,1396.334,317.448,237.74,483.28
g16586,1.205,5.002,3.517,1.141,3.157,3.556,2.006,5.803,10.149,1.125,1,7.003
g16587,22.21,19.663,13.487,28.247,24.631,22.337,19,15.532,69.41,13.948,16.939,18
g16588,6.529,3.001,4.834,4.006,14.168,9.027,5.006,1,18.293,0,2.281,4.006
