gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g42590,0,0,0,0,1,0,0,4,2,2,0,2,2,1
g42591,0.915,2,1.863,1,0,0,1,2.007,0,0,0,0,4.078,0
g42592,2,0,1,1,3,3,2,0,0,2,1,0,2,2
g42593,0,0,1,1,0,0,1,0,0,3,0,1,5,2
g42594,0,0,0,0,0,2.608,3.867,0,0,2.366,0,0,0,0
g42595,4,1,1,0,1,0,2,1,3,0,0,1,2,0
g42596,0,0,0,1.026,0,0,0,1,0,1.02,0,0,4.391,1
g42597,0,1,1.002,0,2,0,1,0,0,0,1,1,3,0
g42598,2,0,2,1,0,1,0,0,1,0,1,3,4,1
g42599,0,1,1,0,1,4,4,0,3,1,2,0,1,2
g426,2195.79,2645.918,2334.986,1921.422,1840.651,2148.528,2135.728,1771.425,1736.621,1807.821,1901.23,1761.933,5803.996,1162.619
g4260,8814.284,21609.103,26285.574,9322.978,9554.034,11707.149,8582.937,7140.637,4828.238,16898.669,3415.955,6082.649,13521.411,12662.704
g42600,1,0,3,0,0,0,0,1,0,1,0,1,4,1
g42601,2,1,0,2,3,1,0,0,1.3,0,0,0,2,0
g42602,0,1,1,1,1,3,2,3,0,0,0,0,4,1
g42603,1,0,3.838,0,0,0,0,3,0,1,0,0,3,0
g42604,0,0,1,1,3,0,1,0,1,0,0,0,3,0
g42605,2.259,3,0,1,0,3,0,0,0,0,0,3,0,3
g42606,2,1,1,1,2,0,1,0,1,0,0,0,6,1
g42607,0,0,0,0,0,0,0,21,0,0,0,0,0,0
g42608,4,0,1,0,3,2,0,0,3,0,0,0,1,0
g42609,1,0,2,0,1,3,0,0,1,0,1,2,2,0
g4261,312.888,290.856,365.061,464.619,251.025,349.946,322.82,315.53,316.238,344.58,221.507,410.771,1185.439,245.996
g42610,0,0,1.994,0,1.242,0,2,0,0,2,0,3,1,0
g42611,1,0,3,0,1,0,1,1,2,0,0,3,0,0
g42612,5,3,0,1,0,1,0,0,0,0,0,2,0,0
g42613,2,4,0,0,1,2,0,0,0,0,2,1,3,0
g42614,5,1,0,3,0,1,0,0,0,0,0,1,0,0
g42615,0,2,2,1,0,0,3,0,1,0,0,0,3,2
g42616,7,3,0,2,0,1,0,0,0,0,0,0,0,0
g42617,0,1,1,4,1,0,1,2,0,1,0,0.996,1,1
g42618,0,3,2,1,0,0,1,0,0,1,2,0,3,1
g42619,1,0,0,0,3,1,2,1,0,2,0,2.169,0,0
g4262,679.234,785.227,1009.907,874.49,941.518,1020.003,1047.768,893.655,603.632,882.031,654.194,739.749,2585.509,559.129
g42620,0,0,1.002,5,0,1,0,1,1,1,0,3,4,0
g42621,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g42622,0,1,2,2,1,0,1,1,1,1,0,1,2,0
g42623,1,0,0,0,1,0,1,1,1,1,0,1,4,0
g42624,0,0,0,0,0,0,0,0,0,0,18,0,0,0
g42625,0,0,0,0,2,4,1,0,1,0,0,0,0,0
g42626,2,0,0,0,2,0,1,0,0,2,2,0,1,1
g42627,0,1,1,0,0,1,1,2,1,1,1,1,0,0
g42628,1,1,4,1,0,2,1,2,0,0,1,0,1,0
g42629,2,0,2,2.907,0,2,1,1,0,0,0,0,2,0
g4263,23.003,23.005,11.002,16.027,8,17.111,19.001,27,10,20,15.003,19.365,56.038,12
g42630,5,2,0,0,0,1,1,0,0,0,2,0,1.996,0
g42631,1,0,2,0,0,0,0,1.073,0,1,0,1,0,1.015
g42632,0,0.993,0,1,0,0,2,1,1,0,0,0.976,1,0
g42633,3.013,0,3,0,0,0,0,0,0,1,1,1,1,0
g42634,0,0,0,1,1,3,0,0,1,1,2,0,5,0
g42635,3,1,0,2,1,1,0,1,0,2,0,0,2,0
g42636,0,0,1.128,2,2,0,1,1,0,2,0,0,1,0
g42637,2,0,0,0,0,2,0,1.791,0,1.564,0,0,0,0
g42638,0,1,0,0,1,1,0,1,2,2,0,1,4,0
g42639,0,0,0,3,0,1,0,0,0,0,2,3,1,1
g4264,47,53.515,49,56,50.953,53,66,52,41,46,38,28,207,14
g42640,1,0,1,0,0,0,0,1,0,0,0,0,1,0
g42641,0,0,0,2,0,0,0,0,2,2,0,0,3,0
g42642,1,0,1,0,1,3,0,0,1,1,1,1,0,0
g42643,1,0,1,1,2,0,0,1,0,1,1,0,2,0
g42644,0,0,0,1,0,0,1,1,1,1,3,1,0,0
g42645,0,1,1,0,0,0,0,0,0,0,0,0,2,1
g42646,0,0,3,0,0,0,2,0,0,1.001,0,1,0,0
g42647,1,0,0,2,2,1,0,1,0,0,0,1.067,1,0
g42648,0,0,1,1,0,2,0,0,2,2,0,0,0,1
g42649,1.386,1.017,1.136,2.255,2.916,1.166,5.358,1.05,3.908,2.332,1.045,3.353,12.131,2.124
g4265,1176.705,1447.237,1085.794,982.126,713.161,893.408,1054.219,778.902,873.759,815.858,1155.994,855.33,3983.969,791.603
g42650,3.784,0,2.236,0,0,1.054,3.062,1.009,0,1.303,3.636,0,9.749,1.048
g42651,3,4,7.307,5.965,3.29,6.025,3.028,1.999,3,4.718,3.431,6.654,10.067,2
g42652,9.432,14.088,10.511,11.757,13.6,10.493,14.052,14.809,5.142,9.035,1.309,10.902,27.183,8.485
g42653,1.117,2.853,2.478,3.608,3.846,0,4.887,3.148,1.12,5.006,0,2.513,5.928,0
g42654,0,0,0,2.749,0,0,1.446,0,1.811,2.38,0,0,4.942,0
g42655,2.27,0,10.527,6.93,4.45,4.222,1.883,0,1.725,2.781,3.904,0,11.201,2.739
g42656,1,2,4,7,5,2,2,5,3,4,3,1,5,2
g42657,3,7,5.019,1,2,6,3,5,3,4,3,2,10,5
g42658,1,4,3,3,5,5,2,6,1.002,2,2.024,1,9,0
g42659,0,2,1,1,2,2.081,2.052,0,0,2.006,6.4,4,3.001,0
g4266,497,546.824,596,441,540,604,538.138,548.883,458.999,560,373.26,584.999,1763.996,342
g42660,2,0,0,3,1,5,1,1,1,1,1,2,3.105,1
g42661,0,0,3,1,0,0,1,1,4,1,1,0,5,0
g42662,1,3,3,2,1,1,3,2,2,4.007,1,3.718,5,1
g42663,1.022,2,2,0,2,3,0,2,0,0,1,1,0,0
g42664,2.461,4.968,2.997,1,2,0,1,1,3.081,0,0,0,0,0
g42665,0,0,0,0,2,0,1,0,0,0,0,0,0,0
g42666,1.001,0,3,0,3,7,3,2,2.015,1,1,0,1,0
g42667,0,0,0,0,2.12,0,0,1.15,1.097,2.267,0,0,0,0
g42668,0,2,3,1,1,2,2,0,2,0,3.777,0,7,1
g42669,1.078,0,0,1,0,4.267,2,0,0,2.303,0,0,1,0
g4267,282.147,315.845,418.39,281.552,192.146,303.46,333.378,255.245,196.387,375.091,214.717,273.602,978.892,164.046
g42670,1,0,2.675,0,1,0,0,1,2.814,3,1.001,0,0,1
g42671,0,1,0,0,1,0,2,0,4,3,0,2,6,0
g42672,0,3,0,0,0,1.935,0,2.993,0,0,0,3,0,0
g42673,0,0,1,3,1,0,8.992,4.252,0,0,0,0,1,0.734
g42674,0,3,2,1,1,0,0,0.961,1,3,1,1,4,2
g42675,1,1,0,2,0,2,4,1,0,2,0,2,2,1
g42676,0,0,0,0,0,0,0,23,0,0,0,0,0,0
g42677,0,0,0,0,4.546,1,0,0,2,1,1,0,3,8.01
g42678,0,0,1,0,0,0,2,3,2,1,2,2,1,1
g42679,1,1,3,0,0,2.004,2,0,1.004,5,0,0,3.004,0
g4268,481.866,610.975,689.484,535.563,401.857,462.341,432.869,398.74,426.509,551.897,414.984,469.479,1311.449,361.018
g42680,0,0,0,0,0,2.006,0,3,1,0,0,0,2.476,0
g42681,1,0,1,1,1,5,1,1,1,1,0,0,2,1
g42682,0,2,0,0,1,1,0,1,0,0,0,1,0,0
g42683,0,2,1,2,1,3,0,3,2,2,0,3,1,1
g42684,0,4,1,0,0,4,4,3,0,2,0,0,1,0
g42685,1,0,2,1,1,0,1,1,0,0,0,3,2,0
g42686,2,1.999,0,0.921,2.235,0,0,0,0.922,2,0,1,1,0
g42687,19,0,0,0,0,1,0,0,0,0,0,0,0,0
g42688,1,1,3,3,1,1,0,2,0,0,0,0,1,0
g42689,1,3,0,0,2,1,0,1,3,0,1,1,2,2
g4269,49.098,57.079,40.054,70.393,49.084,79.555,58.084,70.091,49.169,38.648,37.069,61.092,125.47,37.094
g42690,0,0,1,1,1.441,6,3,2,1.687,0,0,0,3,1
g42691,0,0,0,0.68,4,0,2,2,1,1,1,0,5.003,0
g42692,5.086,2,0,2,0,0,0,0,0,0,0,3,0,0
g42693,0,0,1,2,0,1,0,1,0,0,0,0,1,0
g42694,0,0,1,0,1,1,1,0,3,2,2,1,4.972,0
g42695,1,6,0,2,0,2,0,0,0,0,0,2,0,4
g42696,0,2,3.992,1,2,1,0,0,0,2,0,0,4.053,0
g42697,0,1,1.001,0,0,0,2,0,0,1.001,0,1,2,2
g42698,0,0,0,2,0,2,1,0,1,1,1,1,1,0
g42699,2,1,0,0,2,2,1.001,0,1,0,0,1,3,1
g427,3093.602,3868.896,3443.537,3048.267,3030.3,3903.403,3999.756,2844.651,2824.947,3773.205,2213.976,2879.715,10069.452,2125.103
g4270,378.507,442.817,625.57,443.639,425.481,530.671,479.785,462.341,357.977,519.115,277.416,442.914,1425.935,314.007
g42700,0,0,0,0,0,2,3,1,4,0,0,1,4,0
g42701,2,1,1,1,0,0,2,0,1,0,0,1,1,2
g42702,0,0,3,0,1,2,0,1,0,4,0,1,5,0
g42703,0,0,0,1,2,0,0,6,1,0,0,0,0.718,0
g42704,0,3,2,0,2,0,3,3,0,0,0,1,1,1
g42705,2,0,0,2,0,0,1,1,1,0,1,2,2,4
g42706,2,0,0,0,0,3,1,0,0,1,1,2,0,0
g42707,1,0,0,0,4,0,0,0,1,4,0,0,1,0
g42708,1,1,5,1,1,1,1,0,2,0,0,1,1,0
g42709,0,1,1,3,3,0,0,0,1,2,1,0,1,0
g4271,17409.703,25230.339,26097.328,18133.555,16268.421,15693.167,26153.483,16724.47,16249.912,22204.704,15918.429,17815.146,45986.386,15375.938
g42710,0,0,0,0,1,2,1,2,0,0,0,1,3.212,0
g42711,1,1,1,1,0,0,3,0,0,1,0,0,5,1
g42712,3.939,2.001,0,2,0,2,0,0,0,0,0,1,0,2
g42713,0,0,1,1,0,1,0,2,2,0,0,0,1.018,0
g42714,0,0,0,3,0,1,0,1,3,0,0,1,2,0
g42715,0,0,0,0,0,0,0,17,0,0,0,0,0,0
g42716,3,4,0,2,0,4,0,0,0,0,0,0,0,0
g42717,0,0,3,1,1,1,1,0,0,0,0,0,3,0
g42718,4,3,0,3,0,0,0,0,0,0,0,0,0,0
g42719,3,2,0,1,0,2,0,0,0,0,0,0,0,1
g4272,13991.69,17826.583,25567.978,12335.141,12149.184,12677.028,14645.22,10610.093,8380.237,11271.285,7910.294,13283.621,23501.208,9219.419
g42720,0,1,0,0,1,0,1,0,0,0,1,0,4.005,0
g42721,0,3,2,1,0,0,1,0,0,0,0,1,2,0
g42722,5,1,0,2,0,0,0,0,0,0,0,1,0,0
g42723,0,0,1,1,1,0,1,1,1,2,0,1,3,0
g42724,1,1,1,2,0,1,1,1,1,1,0,0,0,0
g42725,0,1,8,0,0,0,0,0,0,0,0,0,1,0
g42726,0,0,1,0,0,1,1,0,1,0,0,0,4,0
g42727,0,0,0,0,0,4,2,1,0,2,3,0,0,0
g42728,0,0,0,0,0,0,0,0,10,0,0,0,1,0
g42729,4.47,2.857,1.323,2.904,1.74,1.581,0,4.478,0,0,0,4.43,12.36,1.905
g4273,170.596,181.831,158.663,254.179,141.226,176.382,165.93,166.573,105,143.942,138,146.641,516.239,75
g42730,1.192,4.467,5.821,3.28,0,3.109,0,0,1.084,2.197,0,4.502,1.135,0
g42731,18.751,72.419,25.055,16.072,8.504,1.019,47.268,37.667,47.064,12.682,11.173,57.595,27.754,18.392
g42732,4.582,5.195,3.367,1.076,0,3.327,3.216,2.192,2.216,1.062,1.082,7.057,10.94,0
g42734,39.656,38.027,47.874,36.314,32.347,59.047,45.887,33.921,40.788,43.805,23.843,45.017,145.026,21.877
g42735,149.527,89.768,79.916,63.232,84.853,139.896,156.739,116.563,70.75,95.946,78.312,76.032,293.573,57.019
g42736,0,1.087,1.21,1.094,2.221,2.22,1.081,2.384,2.38,0,1.102,0,3.973,2.307
g42737,3.158,1.561,4.864,7.812,13.068,6.545,1.477,0,4.18,10.459,3.492,2.911,23.225,2.925
g42738,5.66,15.284,4.529,9.771,5.999,11.582,6.48,7.691,7.504,12.608,4.258,10.797,12.398,5
g42739,2.013,1.028,0,0,0,2.053,0,2,2.016,2.015,0,0,2.019,1.006
g4274,62.64,88.985,39.778,52.219,54.747,54.833,80.012,65.53,56.657,62.31,48.923,50.578,134.427,48.299
g42740,13.552,14.179,16.99,12.476,7.69,23.994,21.065,5.002,9.246,14.137,8.362,19.062,55.703,0
g42741,0,1.341,0,0,2.146,0,1.939,0,2.193,0,0,0,1.473,0
g42742,4.632,7.017,3.007,8.847,1.042,4,6,3.126,3.477,6.366,9.46,0,14.673,3.617
g42743,2.141,2,1.006,4.064,2.075,1.381,0,2.36,3.906,2.872,3,2.631,3.861,2.152
g42744,0,0,0,0,0,2.165,3.434,5.59,0,4.541,0,0,13.633,4.487
g42745,0,0,0,0,2,4.933,3.04,3,1,0,4.007,2.873,7.021,1.948
g42746,1.286,0,0,0,2.334,0,0,2.474,0,2.051,0,0,2.067,0
g42747,2.318,1.689,0,1.486,3.152,0,4.383,0,5.744,2.698,0,1.544,8.803,11.679
g42748,0,2.676,2.621,0,0,6.003,2.752,3,1.999,1,0,0,4.011,1
g42749,0,3,3.019,1.017,0,1.32,4.736,0,0,1.003,1,2.451,4.99,3
g4275,56226.068,32824.822,29455.425,38368.44,11557.897,16980.849,21339.49,9658.821,10126.842,17927.579,47089.753,44091.47,129165.444,30118.867
g42750,0,0,0,0,0,0,0,18.633,0,0,0,0,0,0
g42751,0,2.994,1.865,2.096,1.006,0,1.042,2.034,0,1.096,0,1,0,0
g42752,2.152,4.68,0,1,0,1,1,2,0,2,0,1,1,0
g42753,1,1,18,0,1,0,3,1,0,2,1,0,1,0
g42754,1,0,0,0,1,1,2,3,0,4,0,2,9,0
g42755,3,1,3,0,0,1,2,1,0,1.043,0,1.006,2,1
g42756,4,1,1,0,2,3,1,3,2,0,0,0.998,2,0
g42757,0,2,2.019,0,0,1,1,4.83,0,0,0,1,3.276,0
g42758,2,0,0,0,4,2,1,2,0,2,0,0,3,0
g42759,1,0,1,1.002,3,2.002,2,1.052,0,1,0,2,1,0
g4276,2893,3348.902,3635.582,4184.725,3541,3942.745,4646.994,4110.106,2478.971,4023.248,2576.013,2368.928,8518.168,1853.74
g42760,2,1.987,2,1,0,3,0,2,0.875,1,1,1,0,0
g42761,0,0.975,0,0,3,1,1.911,3.936,0,2.004,0,0,3,0
g42762,3,2,0,0,0,2,0,2,0,3,0.971,1,8,0
g42763,2,0,2,0,0,1,1,1.276,0,1,4,1,3.01,0
g42764,1.974,0,3,1,1,1,4,0,0,4,0,1,1.013,0
g42765,1,0,2,0,0,1,3,3,2,3,0,2,3,0
g42766,1,0,3,1,0,1,1,0,0,0,1.023,3,1,0
g42767,1,1,1,3,0,1,1,2,0,0,1,1,4,0
g42768,3,0,0,1.053,3,2.386,2.317,0,0,0,0,0,1,0
g42769,1,0,1,0,0,1,0,1.001,1,3,0,1.03,1,1
g4277,445,782.246,802.86,668.883,613.403,718.662,573.506,660.012,696.059,758.999,410.011,719.237,1902.581,420.314
g42770,2,0,0,1,1,1,0,1,1,0,2,3,2,1
g42771,0,0,4,0,2,1,0,1,3,3,0,0,6,1
g42772,1,0,3,0,0,4.001,3,2,0,2,0,1,5,1
g42773,0,0,0,1,2,1.82,1,2,0,0,1,2,1,0
g42774,2,0,2,2,0,1,1,3,0,2,1,2,1,0
g42775,4,0,1.922,1,0,0,0,6,0,0,0,0,5.998,0
g42776,0,0,1,1,0,0,1,0,0,0,0,0,5,0
g42777,0,0,0,0,0,3,2,0,2,0,0,0,1,0
g42778,3,0,1,0,1,1,0,2,2,1,1,1,6.458,1
g42779,0,0,1,2,2,1,1,1,0,3,2,2,4,1
g4278,423,620,621,669,373,508,593,407.05,440.007,493.011,372,547,1343.999,385
g42780,2,0,0,0,0,0,1,4,0,2.076,1,1,0,0
g42781,3,1,0,3.031,0,3.998,0,0,0,0,0,0,0,4
g42782,1,1,2,0,2,4,0,0,1,1,1,1,2,0
g42783,0,1,0,1,0,0,1,1,4,2,1,0,1,0
g42784,1,1,2,3,0,1,1,1,0,1,0,3,1,0
g42785,1,3,0,0,0,1,1,2,1,0,0,1,5,3
g42786,0,1,0,2,0,2,0,1,0,1,0,3,5.41,0
g42787,1,1,2,2,2,0,0,1,0,3,2,0,3,1
g42788,0,2,0,1,0,1,2,2,1,1,0,3,4.001,1
g42789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4279,72.217,143.473,43.137,59.343,89.012,50.532,120.28,53.385,82.113,110.438,72.272,41.701,127.383,39.055
g42790,0,0,0,0,1,2,0,3,1,2,1,2,1,0
g42791,0,2,1.126,1,5,0,1,1,2,0,0,0,1,0
g42792,1,0,5,4,0,3,3,0,1,0,0,1,0,0
g42793,2,0.952,2,0,0,3,2.086,0,0,0,2.257,1.005,1,0
g42794,2,1,1.001,1,2,0,2,1,1,1.006,0,0,0,1
g42795,1.01,2,1,0,3.999,0,0,0,0,1,0,1.028,1,1
g42796,2,0,1,0,0,2,2,0,1,1,0,1,2,2
g42797,1,2,3,2,0,3,3,1,0,3,0,0,4,0
g42798,0,2,0,1,2,0,2,1,1,3,3,0,4,0
g42799,1,2,2,3,0,0,0,0.645,3,0,0,0,1,1
g428,6681.757,10238.549,10611.825,7172.748,8367.358,10141.331,9392.991,7161.152,5366.386,10206.086,6564.248,6814.933,23041.662,5728.087
g4280,53.001,70,70.042,58,46,51,37.955,46,49,44.092,30.001,41,110.014,31
g42800,3,0,3,0,0,1,0,1,0,1,1,2,3,0
g42801,1,1,1,0.952,1,1,4,1,1,1,0,1,1.992,1
g42802,1,0,1,1,2,0,1,0,0,1,0,2.03,4.933,0
g42803,0,1,2,0,0,1,2,0,0,1,1,0,5,0
g42804,0,0,1,1,0,2,0.987,0,1,1,1,0,5,1
g42805,5,1,2,1,0,1,1.003,1,0,1,0,2,2,0
g42806,2,3,3,1,0,1,1,0,1,0,0,0,1,0
g42807,0,0,0,0,0,0,0,0,1,0,1,0,3,2
g42808,0,0,2,1,3,0,1,1,3,1,0,1,2,2
g42809,1,0,0,3.061,0,0,1,0,2,0,0.927,0,0,2
g4281,1670.267,2047.342,2372.336,1734.806,2057.763,2102.186,2417.136,1809.103,1565.741,2213.595,1528.034,1717.737,5076.611,1212.219
g42810,0,1,0,0,2,1,0,0,1.027,0,1.01,1.002,3,1
g42811,1,0,0,0,1,1,1,0,1,0,0,5,1,0
g42812,0,1,0,3,0,1,1,2.961,0,0,0,0,5.975,0
g42813,2,0,0,1,2.016,1,0,1,0,1,2.007,0,1,1
g42814,1,0,2,0,0,1,0,1,1,0,0,0,2,1
g42815,1,0,0,1,1,1,2,0,0,1,0,1,3.031,0
g42816,2,0,2,0,2,0,3,0,1,1,0,1,2,0
g42817,0,1,0,1,1,0,2,0,0,2,0,1,1,0
g42818,1,1,0,0,0,3,1,0,1,1,1,1,2,1
g42819,1,0,2,0,0,0,0,0,0,2,1,0,4,0
g4282,27,28,27.983,39,21,54.754,23,33.012,31,36,20,26,99.542,23
g42820,1,0,0,2,0,2,3,1,1,0,0,0,4,1
g42821,2.002,0,0,0,1,1,2,2,1,1,0,0,2.004,0
g42822,0,1,1,1,1,3,0,2,0,1,1,2,3,1
g42823,0,1,0,2,0,0,1,2,0,0,1,0,2,1
g42824,0,4,0,1,0,1,0,0,0,0,0,0,0,2
g42825,0,0,1,0,0,3,2,1,0,1,0,1,3,1
g42826,1,0,0,2,0,1,0,0,0,1,1,1,1,2
g42827,2,0,1,1,1,0,2,4,0,1,1,0,1,0
g42828,1,1,0,0,0,1,0,1,1,1,0,0,5,0
g42829,0,0,0,0,0,1,0,2,0,0,0,1,5,0
g4283,1424.858,1644.08,1971.999,1656.229,1261.227,1319.982,1763.001,1198.965,1366,1889.991,1091.983,1611,3934.419,1082
g42830,2,2,0,0,0,0,1,0,0,1,0,0,0,0
g42831,0,0,0,0,0,3,5,0,0,1,1,0,0,1
g42832,0,1,0,3,0,1,1,0,0,0,0,1,1,1
g42833,0,0,1,0,0,1,0,0,3,0,0,0,2,1
g42834,0,0,0,0,0,0,0,8,0,0,0,0,0,0
g42835,1,1,0,3,1,1,1,0,0,0,0,0,0,1
g42836,0.907,1.79,2.139,4.26,1.238,3.224,7.53,8.427,4.654,0,6.619,0,1.045,3.76
g42837,0,0,0,0,1.152,0,0,0,0,0,0,0,1.898,0
g42838,11.803,28.209,48.221,20.882,20.917,36.825,19.846,16.372,14.593,33.379,12.312,25.085,67.45,17.529
g42839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4284,85.316,109.254,64.782,68.286,66.45,69.874,105.026,62.84,78.462,77.363,58.138,66.9,192.073,56.303
g42840,64.122,56.475,62.991,39.582,77.032,78.67,60.236,72.688,38.14,75.747,48.061,69.031,162.94,49.48
g42841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g42842,10.177,3.167,7,4,1,1.028,2.078,3.039,0,1.086,2,0,7.54,0
g42843,27.318,22.968,31.944,34.581,29.1,52.313,37.396,25.539,20.469,28.498,19.695,40.748,79.167,20.642
g42844,0,1.449,4.27,0,6.975,4.409,6.366,0,4.656,6.4,2.145,9.318,5.562,5.192
g42845,6.058,3.242,11.53,7.126,8.545,10.222,9.98,8.921,7.15,4.851,0,7.263,20.558,3.396
g42846,3.008,4.628,1.823,8.279,4.276,3.117,3.873,7.368,2.01,6.981,2,2.881,10.78,3.68
g42847,0,0,0,0,0,0,0,46.222,0,0,0,0,0,0
g42848,7.445,5.071,18.029,2,12.131,15.778,16.003,30.514,7,9.011,5,3,3.044,4.958
g42849,0,1.039,0,0,2,0,0,1,0,1,0,0,1.212,1
g4285,2687.154,3564.784,3756.822,3082.579,2612.801,2654.44,3520.64,2494.369,2534.126,3483.792,2109.695,2953.203,7604.76,2139.455
g42850,8.045,2.482,2.511,1.168,8.363,7.61,7.873,5.865,3.093,5.445,0,1.913,19.788,5.531
g42851,1,1.962,6.997,4.088,1,2.811,2,4.072,2,3.98,0.944,0.799,0,4.867
g42852,1.517,3.733,2.785,6.621,6.718,4.58,6.474,6.516,3.7,7.714,5,3.541,7,5.726
g42854,1,2.03,1,2.941,1,2.99,2.053,1,0,1.459,3,3,2.002,3.959
g42855,3.017,2.454,2,4,3.001,1.745,2,3,2.002,3,4,3.909,13.07,0
g42856,0,0,1.722,2,2.283,1,4,1,1,0,1,0,1.028,0
g42857,0,0,0,2.001,2,2,2.028,2.073,1,1,0,3,3,1
g42858,3,3,1,3,2,5,2,1,1,1,0,3,6,1
g42859,1,1,0,2.974,5,3,1,3,0,2,1,2,5,1
g4286,2722.258,3681.959,5533.472,3216.075,3215.274,4044.042,4510.744,2865.714,2759.483,3798.457,2216.019,3003.875,8671.891,2005.929
g42860,2,2,2,0,2,2.079,2.801,0,0,1,0,1,5,1.139
g42861,2,2,2,1,2,2,3,0,2,4.185,2,3,8,0
g42862,0,0,3.311,0,0,0,0,0,0,0,1.946,1,0,1.255
g42863,2,1,0,2,1,2,1,1,1,3,2,3,5,1
g42864,2,2,9,5,1,2,1,3,2,1,2,7,2,0
g42865,0,1,2,0,3,0,4.15,1,1,3,0,1,4,1
g42866,0,1,2,1,0,1.192,0,3.956,0.984,1.04,2,0,5,0.981
g42867,0,3,2,0,0,1,1,0,0,1,1,1,7,0
g42868,0,3,2,0,1,3,5,0,0,2,3,0,2,0
g42869,0,2,0,1.088,2.972,1,3,1,2,1.992,0,3,2.12,1
g4287,714.126,894.419,1035.769,711.95,717.296,883.891,872.08,673.537,580.327,783.262,602.565,863.032,2229.696,491.785
g42870,0,0,0,0,1,1.208,0,0,0,2.001,1,0,1.005,0
g42871,0,0,0,0,0,0,0,0,0,1.306,0,0,0,0
g42872,0,0,0,1,0,0,1,5,1,3,0,0,6,1
g42873,9.853,2,0,0,0,0,0,1,0,1,0,0,0,3.971
g42874,1,0,2,0,0,2.99,2,4.067,1,4,0,1,6,1
g42875,0,0,2,2,0,1,4,0,3,4.413,0,3,0.875,1
g42876,2,2,3,1,1,2,1,0,2,3,0,0,5.729,0
g42877,0,0,3,2,3,0,1,1,1,1,1,1,2.001,2
g42878,3,0,0,1,1,3,1,2,0,1,0,0,6,2
g42879,0,1.921,0,0,0.869,1.91,0,2,2.732,1,0,1,0,0
g4288,235.203,286.904,416.689,209.199,282.121,307.903,270.326,206.214,214.8,295.409,143.486,187.123,786.816,158.694
g42880,0,0.998,0,0,1,0,0,0,0,0,0,0,3.283,0
g42881,1,1,1.989,1,1,1,0,1,0,0,0,1,3.993,4
g42882,1,2,1,0,1,3,5,0,0,0,2,0,4,0
g42883,0,0,2,0,0,1,0,1,2,4,1,4,6,0
g42884,1,2,0,2,0,1,1,3,1,1,1,1,3,0
g42885,0,0,0,0,0,2,1,0,0,1,0,3.034,1,0
g42886,1,0,2,1,0,1,5,0,0,0,1,1,2,0
g42887,1,0,2,0,0,2,1,0,1,2,0,0,1.02,1
g42888,0,0,0,2,1.03,1,0,0,0,0,0,0,2,0
g42889,0,0,1,1,2,0,2,0,3,1,1,4,1,0
g4289,69,83,84.266,81.981,55.606,76.033,83.029,53,57,67.341,48.981,78,215.544,57
g42890,0,2,0,1,0,1,0,1,0,3.002,1.05,1,5,0
g42891,0,2,4,0,1,2,0,1,0,1,0,0,1,1
g42892,0,1,1,3,1,2,4,0,1,0,1,2,1,0
g42893,0,2,1,1,1,1,0,1,1,2,1,1,5,0
g42894,2,2,0,3,0,2,0,0,0,0,0,3,0,0
g42895,1,1,1,1,0,0,1.016,1,0,1,0,0,2.006,1
g42896,0,0,0,0,5,2,0,1,1,3,3,1,0,0
g42897,2,1,3,2,1,0,0,0,0,0,2,1,2,0
g42898,2,7.655,0,5,0,1,0,0,0,0,0,0,0,1
g42899,0,0,1,0,2,0.959,1,1,3,0,0,3,0,0
g429,1963.61,2271.221,2385.958,1901.383,1763.21,2171.164,2494.005,1734.887,1824.514,2150.22,1428,1861.989,5834.539,1262.988
g4290,4263.001,6044.994,7366.207,4925.656,3967.179,4244.971,4713.401,3461.787,3283.121,4982.57,2791.751,4718.546,9491.896,3148.6
g42900,0,1,1,1,3,1,0,1,2,3,1.959,0,0,1
g42901,0,0,3,0,1,0,1,3,2,0,0,0,1,1
g42902,0,0,1,0,0,0,0,0,0,1,0,1,13.061,0
g42903,0,1,2,0,2,2,3.992,3,1,1,0,0,1,0
g42904,1,1,0,0,2.997,4,3,1,0,0,0,0,1,0
g42905,0,0,0,0,0,2,5,0,1,1,0,0,1,0
g42906,0,0,0,0,0,0,0,17,0,0,0,0,0,0
g42907,0,0,0,1,0,0,0,0,1,0,0,0,1,0
g42908,1,3,0,1,0,0,0,0,0,0,0,1,0,0
g42909,0,1,0,0,0,1,1,1.039,0,1.641,0,2,2,1
g4291,698.589,815.831,1759.547,525.723,241.969,318.156,549.941,545.165,401.828,469.836,278.558,346.135,847.611,452.139
g42910,0,0,2,2,2,3,1,0,3,0,0,3,0,0
g42911,1,2.016,0,0,1,1,0,0,0,1,0,1,2,0
g42912,0,0,0,0,1,1,0,2,1,0,1,3,0,0
g42913,1.018,1,0,2,1,3,1,0,3,1,1,0,2,0
g42914,1,1,0,1,2,2,2,0,0,0,0,0,2,0
g42915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
