gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g17200,113.308,88.509,84.621,84.29,99.548,117.548,157.496,79.302,61.22,91.199,70.785,73.274,234.1,40.337
g17201,20.013,15,23,21.999,28.285,36,25.943,30,21,27.407,19,24,62.036,9
g17202,19,17,53.009,9,16,10.238,14,4,9,35.011,19,15,49.072,10
g17203,5.955,8.288,8.14,4.013,8.729,9.009,7.018,8,4.008,12.059,2,7.881,41.913,5
g17204,7.917,11.174,15.627,6.359,15.06,9.972,9.745,8.239,10.08,10.05,4.158,9.114,30.51,6.001
g17205,10,4,16,18,16,21.824,14,13,15,10,17,17,52,6
g17206,28.003,35,0,10,0,16,0,0,0,0,0,8,0,11
g17207,5,7,9.048,10,9.622,18.791,14,14.865,3,9.001,7,5,25,4
g17208,7,8,13,9,10,13,10,10,4,6.001,5.978,7,14.926,0
g17209,7,5,11,7,10,15,8,5,3,11.131,7,7,14.006,5
g1721,390.836,436.965,388.333,505.836,403.953,539.105,551.717,414.569,325.27,552.719,373.533,408.006,1169.853,288.854
g17210,0,0,5.693,1.387,5.445,1.367,4.9,1.007,0,4.544,2.547,5.753,9.434,0
g17211,9,2,5,2,6,10,6,1,2.027,4,7,3,10,3
g17212,3.516,0,2.117,2,0,1.051,1.079,1.193,2,0,2,1.07,11.358,3.339
g17213,1.005,2.991,7.143,0,4,3.013,7.209,4,1.885,4,10.071,2.029,8.48,2
g17214,0,3,4,2,1,5,2,4,7,7,2,8,11,2
g17215,1,4,3,3,2,9,2,1,1,3.001,3,1,10,4
g17216,2,5,10,3,2,1,2,3,4,11,4,1,2,2
g17217,3.004,4,4,1,7.001,8,3.354,4,5,4,0,2,3.051,2
g17218,2,2.996,3,3.115,5.011,3.03,3.006,1,2.002,5.013,5,4.008,8.006,1.001
g17219,4,3,4,2,3,7,2,0,5,3.058,0,5,7,1
g1722,827,677,719,769,644,698,673.988,660.014,488,650,724.541,535.933,1975,433
g17220,1,1,2,4,3,5,6,1,2,5,5,1,4,1
g17221,5.541,5.871,5.848,6.204,8.719,7.419,23.089,5.462,3.407,11.017,2.184,3.294,9.192,5.297
g17222,7.096,11.864,16.124,4.24,14.423,9.29,11.891,7.469,12.303,3.16,6.914,6.648,37.596,9.201
g17223,101.353,150,174.413,123.015,111.088,125.068,150.074,119.425,113.008,161.001,76.01,116.026,431.149,85.006
g17224,4.55,2.454,6.971,6.019,7.763,8.536,7.842,4.592,4.823,4.739,1.155,2.429,10.719,0
g17225,118.781,128.591,172.918,130.215,113.83,124.928,139.26,109.683,126.732,168.956,86.045,117.074,424.384,95.708
g17226,3.649,14.779,6.606,3,16.526,14.791,4.694,1,6.012,18.03,4.007,10.043,12.906,5
g17227,11.651,11.768,12.264,18.68,24.735,15.69,25.74,7.104,17.555,12.046,15.481,17.187,35.131,10.013
g17228,58.75,65.545,65.197,79.292,57.411,49.73,79.49,49.202,55.736,49.19,35.259,68.239,168.895,35.889
g17229,6.025,8.951,10.51,5.195,7.415,3.437,12.048,1.091,7.843,13.813,2.153,5.258,15.695,9.694
g1723,10477.158,11968.313,13955.457,11899.087,15192.267,14316.65,13662.769,13882.769,10620.209,14054.823,9199.843,10037.565,27146.007,7274.694
g17230,0,6.119,0,0,2.688,7.925,0,0,0,0,5.012,10.125,0,0
g17231,0,0,0,0,0,0,0,0,0,0,0,0,0,137.256
g17232,12.707,11.194,24.391,10.003,17.179,19.064,14.016,14.517,11.002,10.164,5,15.063,39.768,4.377
g17233,5,2,5,5.031,8,6.001,7,5.532,3.001,2.001,6,2,17.117,1
g17234,2.009,1,3.495,5.896,5.014,10,4,6.996,1.052,2,1.001,5.008,8.011,5.371
g17235,3.851,3,7,4,7,0,10,2.323,3,0,4,2.179,6.699,0
g17236,4,2,6,4,2,6,0,4,0,1,2,4,9.003,1
g17237,6,3,6,1.318,2,2,6,6,3,2,1,4,10,8
g17238,0,0,3.206,0,2,3.25,3,2,4,0,3,5.254,9,1
g17239,10.439,4.119,10.435,5.764,6.173,4.101,12.354,9.516,2.049,5.126,5.153,4.105,10.023,6.165
g1724,1562.247,2070.201,2155.224,1833.891,1235.131,1490.714,1907.613,1445.694,1569.626,2151.382,1322.22,1742.224,6386.494,1185.559
g17240,14.113,8.086,21.175,17.128,5.044,8.079,11.095,7.069,11.094,10.093,6.198,13.114,60.536,2.016
g17241,238.236,270.326,236.013,171.06,165.93,205.682,230.526,187.343,132.266,251.413,181.871,196.384,771.485,140.098
g17242,388.963,371.411,515.116,328.8,432.342,378.331,448.463,415.477,386.687,442.701,254.597,329.469,1001.573,245.954
g17243,11.285,3.413,7.571,39.417,16.611,8.363,25.586,1.252,5.698,5.66,14.338,13.693,32.61,3.569
g17244,4.255,5.382,5.265,11.166,17.398,11.654,10.072,7.504,9.064,8.986,5.693,5.083,17.846,2
g17245,13,14.513,19,18.998,16,8.304,14.953,12.665,8.996,16,8.884,7,38.019,6
g17246,20.083,28.095,6,4.013,7,5.904,4.014,7,5.05,50.368,11,6,45.333,8
g17247,7.08,11.99,7.023,5,8.002,10.565,6.926,8.808,5.971,5.035,8.925,3.819,24.761,4.639
g17248,1,5,0,1,15.961,90.214,9,0,14.208,1,0,0,2,37
g17249,17,12,0,14,0,9,0,0,0,0,0,13,1,6
g1725,2271.78,2973.254,2845.968,2038.212,2115.532,2361.622,3228.694,2268.914,2005.471,2879.361,1821.561,2192.863,6464.023,1690.765
g17250,5,8,12.267,10.001,4,8.735,4.031,7,3.944,7,1,8,22.157,5
g17251,6,10.011,9.223,14,5.004,5,15,7,9,2,5,4,13,3
g17252,3,5.952,6,5,1,3,3,3,3,1,4,4.003,8,1
g17253,7,10,16,1,6,6,2,0,3,13,2,5,13.011,3
g17254,1.013,0,6,2,5,8.699,1,4.949,4,3,6,4.059,12,0.834
g17255,1,4,3.013,1,5,10,4,1,1,5,0,0,12,6
g17256,3,2,0,0,3,0,1.34,1.179,0,0,1,5.568,10,0
g17257,23.923,24.787,38.828,34.287,25.169,36.92,24.748,16.867,28.535,19.945,28.269,38.682,85.1,20.774
g17258,11.051,20.707,21.937,18.498,33.385,44.62,22.728,15.639,11.601,25.603,7.757,10.576,43.953,4.72
g17259,12.442,17.702,37.553,10.213,30.861,27.773,27.273,14.94,5.594,30.542,16.054,10.238,37.932,10.355
g1726,2151.187,2433.024,2551.389,2395.712,1957.262,2387.881,2599.626,2028.613,1971.589,2604.829,1587.168,2260.386,6006.876,1398.948
g17260,89.463,94.845,92.172,95.744,111.693,120.642,97.594,56.064,68.202,94.839,54.686,86.332,248.378,62.49
g17262,7.47,6.641,4.218,22.846,6.257,8.445,0,5.983,1.798,3.612,7.554,2.381,19.452,5.405
g17263,23,20,37,28.16,39,21,16,25,13,49,16,17,83.26,11
g17264,3,10,12,3,15,11,5,9,11,15,3,8,45.314,2
g17265,13,8,12.002,12,6.474,22,17,22.054,9.235,16,7.141,10,22,4
g17266,10,6.101,11.013,5.007,7.235,9.442,8.086,8.263,4.011,8.806,4.083,8.186,21.422,6
g17267,1.029,2,4,1.02,1,0,1.028,1,0,6,1,1.068,2.21,2.213
g17268,6,27,0,6,0,4,0,0,0,0,0,3,0,3
